device,positions,type,name
front-rack1 - R640 - 4 disks,1,fc,sfp1
front-rack2 - R640 - 4 disks,1,fc,sfp1
monitor-rack1-1 - R640 - no disks,1,fc,sfp1
monitor-rack2-1 - R640 - no disks,1,fc,sfp1
monitor-rack2-2 - R640 - no disks,1,fc,sfp1
osd-rack1-1 - R740xd,1,fc,sfp1
osd-rack2-1 - R740xd,1,fc,sfp1
osd-rack1-2 - R740xd,1,fc,sfp1
osd-rack2-2 - R740xd,1,fc,sfp1
osd-rack1-3 - R740xd,1,fc,sfp1
osd-rack2-3 - R740xd,1,fc,sfp1
osd-rack1-4 - R740xd,1,fc,sfp1
osd-rack2-4 - R740xd,1,fc,sfp1
osd-rack1-5 - R740xd,1,fc,sfp1
osd-rack2-5 - R740xd,1,fc,sfp1
osd-rack1-6 - R740xd,1,fc,sfp1
osd-rack2-6 - R740xd,1,fc,sfp1
osd-rack1-7 - R740xd,1,fc,sfp1
osd-rack2-7 - R740xd,1,fc,sfp1
osd-rack1-8 - R740xd,1,fc,sfp1
osd-rack2-8 - R740xd,1,fc,sfp1
osd-rack1-9 - R740xd,1,fc,sfp1
osd-rack2-9 - R740xd,1,fc,sfp1
osd-rack1-10 - R740xd,1,fc,sfp1
osd-rack2-10 - R740xd,1,fc,sfp1
front-rack1 - R640 - 4 disks,1,fc,sfp2
front-rack2 - R640 - 4 disks,1,fc,sfp2
monitor-rack1-1 - R640 - no disks,1,fc,sfp2
monitor-rack2-1 - R640 - no disks,1,fc,sfp2
monitor-rack2-2 - R640 - no disks,1,fc,sfp2
osd-rack1-1 - R740xd,1,fc,sfp2
osd-rack2-1 - R740xd,1,fc,sfp2
osd-rack1-2 - R740xd,1,fc,sfp2
osd-rack2-2 - R740xd,1,fc,sfp2
osd-rack1-3 - R740xd,1,fc,sfp2
osd-rack2-3 - R740xd,1,fc,sfp2
osd-rack1-4 - R740xd,1,fc,sfp2
osd-rack2-4 - R740xd,1,fc,sfp2
osd-rack1-5 - R740xd,1,fc,sfp2
osd-rack2-5 - R740xd,1,fc,sfp2
osd-rack1-6 - R740xd,1,fc,sfp2
osd-rack2-6 - R740xd,1,fc,sfp2
osd-rack1-7 - R740xd,1,fc,sfp2
osd-rack2-7 - R740xd,1,fc,sfp2
osd-rack1-8 - R740xd,1,fc,sfp2
osd-rack2-8 - R740xd,1,fc,sfp2
osd-rack1-9 - R740xd,1,fc,sfp2
osd-rack2-9 - R740xd,1,fc,sfp2
osd-rack1-10 - R740xd,1,fc,sfp2
osd-rack2-10 - R740xd,1,fc,sfp2

